catalogNumber,large JPG,thumbnail,webview
LSU00135628,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135628_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135628_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135628_5_WR.JPG
LSU00135629,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135629_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135629_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135629_5_WR.JPG
LSU00135630,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135630_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135630_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135630_5_WR.JPG
LSU00135631,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135631_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135631_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135631_5_WR.JPG
LSU00135632,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135632_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135632_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135632_5_WR.JPG
LSU00135633,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135633_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135633_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135633_5_WR.JPG
LSU00135634,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135634_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135634_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135634_5_WR.JPG
LSU00135635,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135635_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135635_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135635_5_WR.JPG
LSU00135636,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135636_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135636_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135636_5_WR.JPG
LSU00135637,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135637_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135637_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Lichen/LSU/00/135/LSU00135637_5_WR.JPG
