catalogNumber,large JPG,thumbnail,webview
LSU00135942,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135942_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135942_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135942_5_WR.JPG
LSU00135943,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135943_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135943_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135943_5_WR.JPG
LSU00135944,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135944_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135944_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135944_5_WR.JPG
LSU00135945,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135945_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135945_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135945_5_WR.JPG
LSU00135946,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135946_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135946_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135946_5_WR.JPG
LSU00135947,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135947_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135947_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135947_5_WR.JPG
LSU00135947,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135947_6_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135947_6_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135947_6_WR.JPG
LSU00135948,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135948_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135948_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135948_5_WR.JPG
LSU00135949,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135949_5_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135949_5_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135949_5_WR.JPG
LSU00135949,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135949_6_L.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135949_6_TN.JPG,http://cyberfloralouisiana.com/images/LSUCollections/Fungi/LSU/00/135/LSU00135949_6_WR.JPG
